Process Arrival_Time Service_Time Priority
P0 0 1 6
P1 2 7 7
P2 4 3 8
P3 9 5 8
P4 14 1 3
P5 16 3 10
P6 17 5 5
P7 19 10 3
P8 20 7 5
P9 21 10 2
P10 22 10 7
P11 23 6 3
P12 26 10 4
P13 31 4 5
P14 35 3 3
P15 37 4 6
P16 42 2 9
P17 45 8 10
P18 48 1 7
P19 49 9 4
P20 53 10 1
P21 57 7 8
P22 58 8 2
P23 61 6 4
P24 64 6 10
P25 66 5 7
P26 67 10 5
P27 72 1 10
P28 74 3 8
P29 77 6 10
P30 80 2 5
P31 82 1 3
P32 84 6 4
P33 89 10 9
P34 94 10 10
P35 99 6 4
P36 100 8 9
P37 104 4 4
P38 105 1 5
P39 110 1 8
P40 112 1 5
P41 117 3 1
P42 122 1 9
P43 126 7 6
P44 127 5 1
P45 132 10 8
P46 135 8 9
P47 138 1 8
P48 140 5 1
P49 142 5 2
P50 145 6 4
P51 149 10 2
P52 152 3 9
P53 155 10 2
P54 158 6 7
P55 160 3 5
P56 164 8 1
P57 169 10 5
P58 170 7 4
P59 173 3 4
P60 178 3 8
P61 181 3 6
P62 183 5 7
P63 186 7 5
P64 191 5 10
P65 194 2 2
P66 195 4 5
P67 200 7 5
P68 203 2 9
P69 206 5 3
P70 211 9 8
P71 215 4 7
P72 216 9 10
P73 219 4 9
P74 220 1 9
P75 222 4 2
P76 223 3 3
P77 224 6 6
P78 227 2 6
P79 229 10 4
P80 233 5 2
P81 237 2 9
P82 241 6 10
P83 244 6 2
P84 248 1 8
P85 250 7 6
P86 251 4 9
P87 252 1 10
P88 254 9 7
P89 255 6 10
P90 260 8 7
P91 261 4 2
P92 264 4 1
P93 267 5 2
P94 270 3 10
P95 273 9 2
P96 278 6 7
P97 280 9 1
P98 285 2 6
P99 287 10 10
