Process Arrival_Time Service_Time Priority
P0 0 20 17
P1 7 18 16
P2 15 9 2
P3 16 16 7
P4 22 6 1
P5 29 14 15
P6 38 4 9
P7 48 2 8
P8 55 15 14
P9 64 4 18
P10 74 7 14
P11 75 17 14
P12 81 17 16
P13 82 12 11
P14 91 2 13
P15 97 13 12
P16 99 2 5
P17 107 18 8
P18 115 19 9
P19 120 5 13
P20 122 20 8
P21 129 13 12
P22 130 1 9
P23 138 18 1
P24 143 9 3
P25 150 14 9
P26 160 6 20
P27 164 7 12
P28 174 18 5
P29 181 6 16
P30 191 15 15
P31 193 19 19
P32 203 12 19
P33 209 8 5
P34 215 3 16
P35 217 11 8
P36 224 7 11
P37 233 10 20
P38 235 6 5
P39 236 11 20
P40 239 5 9
P41 240 12 20
P42 241 10 6
P43 243 15 17
P44 251 16 6
P45 257 11 6
P46 262 1 8
P47 267 13 1
P48 270 4 13
P49 280 11 8
P50 281 12 15
P51 289 14 1
P52 298 9 1
P53 299 2 15
P54 307 12 1
P55 314 1 2
P56 322 12 4
P57 329 18 5
P58 337 4 11
P59 343 7 10
P60 352 15 5
P61 354 13 15
P62 359 3 4
P63 369 4 13
P64 376 19 8
P65 378 20 11
P66 379 2 8
P67 384 17 9
P68 386 6 4
P69 393 19 18
P70 394 4 11
P71 402 3 15
P72 404 12 18
P73 414 11 17
P74 417 4 3
P75 419 11 11
P76 421 9 17
P77 430 20 19
P78 432 19 10
P79 436 2 4
P80 437 13 6
P81 446 1 1
P82 455 8 11
P83 461 11 13
P84 462 15 9
P85 464 4 17
P86 472 4 14
P87 481 7 14
P88 483 12 8
P89 490 14 13
P90 499 17 11
P91 502 12 18
P92 507 3 6
P93 510 15 1
P94 515 13 4
P95 517 18 19
P96 526 20 10
P97 531 10 2
P98 539 19 6
P99 546 2 3
P100 556 10 6
P101 561 1 7
P102 566 15 6
P103 570 12 2
P104 579 7 19
P105 583 6 20
P106 593 3 3
P107 598 3 4
P108 600 6 6
P109 608 17 14
P110 617 12 6
P111 627 7 4
P112 635 12 12
P113 645 20 3
P114 649 5 13
P115 651 6 5
P116 656 11 1
P117 664 7 11
P118 667 20 13
P119 670 18 9
P120 677 17 14
P121 684 2 10
P122 688 11 6
P123 689 7 12
P124 695 2 5
P125 703 8 16
P126 710 3 8
P127 711 20 11
P128 714 19 1
P129 717 1 9
P130 722 2 3
P131 730 14 16
P132 731 15 6
P133 732 6 12
P134 741 19 14
P135 743 8 8
P136 753 3 9
P137 762 4 11
P138 770 13 15
P139 772 1 18
P140 774 14 1
P141 778 19 15
P142 782 4 18
P143 792 8 10
P144 793 17 18
P145 797 17 6
P146 801 16 1
P147 810 5 6
P148 815 20 5
P149 824 6 18
P150 829 18 20
P151 830 4 8
P152 832 9 19
P153 835 13 7
P154 843 8 18
P155 846 10 1
P156 850 13 17
P157 851 3 12
P158 855 3 6
P159 861 18 20
P160 866 4 13
P161 872 6 13
P162 879 7 17
P163 880 6 2
P164 889 1 11
P165 894 5 13
P166 899 16 3
P167 903 1 9
P168 904 15 18
P169 905 14 16
P170 909 11 8
P171 912 12 11
P172 917 6 1
P173 926 13 14
P174 933 15 1
P175 941 4 5
P176 949 17 8
P177 957 16 6
P178 959 16 16
P179 961 3 16
P180 970 2 4
P181 980 6 19
P182 982 16 9
P183 986 3 14
P184 992 10 18
